BorderControl,63.0,41.0,22.0,24.0,0.0,16.0,17.0,6.0,19.50793650793651,7.528707291299753,2.2058823529411766
CommunistAggressive,93.0,68.0,25.0,24.0,19.0,19.0,15.0,16.0,45.18279569892473,3.6239262845541154,1.736
CommunistDefensive,101.0,68.0,33.0,24.0,23.0,20.0,19.0,15.0,105.41584158415841,2.412303157241486,1.696969696969697
Boss,113.0,81.0,32.0,24.0,24.0,27.0,22.0,16.0,22.283185840707965,5.464183381088826,1.5037593984962405
