CommunistAgressive,l0,l1,,,,12,110,1
Boss,l0,l1,,,,10,69,1
CommunistDefensive,l0,l1,l2,l3,,26,104,4
CommunistAgressive,l0,l1,l2,l3,l4,23,168,1
Boss,l0,l1,l2,l3,l4,15,128,1
Nailer,l0,l1,l2,l3,,130,733,2
Boss,l0,l1,l2,,,15,136,1
CommunistDefensive,l0,l1,l2,l3,l4,65,356,1
Nailer,l0,,,,,17,122,1
Nailer,l0,l1,l2,l3,l4,71,338,3
Boss,d0,d1,d2,,,19,172,1
Nailer,d0,d1,d2,d3,d4,1651,21115,1
CommunistAgressive,l0,l1,l2,,,14,113,1
CommunistAgressive,l0,,,,,13,110,1
CommunistDefensive,l0,,,,,13,114,1
Boss,l0,,,,,9,62,1
BorderControl,l0,l1,l2,l3,,45,249,4
Nailer,l0,l1,,,,12,94,1
Nailer,l0,l1,l2,,,33,276,1
CommunistDefensive,l0,l1,,,,38,294,1
BorderControl,l0,,,,,8,89,1
CommunistAgressive,l0,l1,l2,l3,,42,220,5
Boss,l0,l1,l2,l3,,13,103,1
BorderControl,l0,l1,l2,l3,l4,59,412,2
BorderControl,l0,l1,l2,,,8,109,1
CommunistDefensive,l0,l1,l2,,,14,71,4
CommunistAgressive,l0,l1,,,,16,143,1
Boss,l0,l1,,,,12,79,1
CommunistDefensive,l0,l1,l2,l3,,96,516,1
CommunistAgressive,l0,l1,l2,l3,l4,6,25,6
Boss,l0,l1,l2,l3,l4,32,156,6
Nailer,l0,l1,l2,l3,,69,477,1
Boss,l0,l1,l2,,,12,90,1
CommunistDefensive,l0,l1,l2,l3,l4,30,245,1
Nailer,l0,,,,,32,233,1
Nailer,l0,l1,l2,l3,l4,41,194,4
Boss,d0,d1,d2,,,16,135,1
CommunistDefensive,d0,d1,d2,,,64,180,4
CommunistDefensive,d0,d1,d2,d3,d4,1029,1174,1
CommunistDefensive,d0,d1,,,,289,786,1
BorderControl,d0,d1,d2,,,70,839,1
Boss,d0,d1,d2,d3,d4,83,529,1
CommunistDefensive,d0,d1,d2,d3,,428,618,1
Boss,d0,d1,d2,d3,,21,153,1
CommunistAgressive,l0,l1,l2,,,24,167,1
CommunistAgressive,l0,,,,,8,69,1
CommunistDefensive,l0,,,,,7,65,1
Boss,l0,,,,,9,66,1
BorderControl,l0,l1,l2,l3,,17,163,1
Nailer,l0,l1,,,,41,345,1
Nailer,l0,l1,l2,,,69,261,4
CommunistDefensive,l0,l1,,,,14,120,1
BorderControl,l0,,,,,10,85,1
CommunistAgressive,l0,l1,l2,l3,,43,331,1
Boss,l0,l1,l2,l3,,21,151,1
BorderControl,l0,l1,l2,l3,l4,15,137,1
BorderControl,l0,l1,l2,,,18,173,1
CommunistDefensive,l0,l1,l2,,,20,172,1
CommunistAgressive,l0,l1,,,,11,87,1
Boss,l0,l1,,,,16,132,1
CommunistDefensive,l0,l1,l2,l3,,32,208,1
CommunistAgressive,l0,l1,l2,l3,l4,62,376,1
Boss,l0,l1,l2,l3,l4,55,316,5
Nailer,l0,l1,l2,l3,,37,261,1
CommunistDefensive,d0,d1,d2,,,1701,1595,1
Boss,l0,l1,l2,,,59,384,1
CommunistDefensive,l0,l1,l2,l3,l4,6,29,6
Nailer,l0,,,,,8,69,1
Nailer,l0,l1,l2,l3,l4,60,429,1
CommunistAgressive,l0,l1,l2,,,18,114,1
CommunistAgressive,l0,,,,,12,85,1
CommunistDefensive,l0,,,,,11,93,1
Boss,l0,,,,,14,96,1
BorderControl,l0,l1,l2,l3,,11,136,1
Nailer,l0,l1,,,,35,140,3
Nailer,l0,l1,l2,,,47,198,4
CommunistDefensive,l0,l1,,,,23,193,1
BorderControl,l0,,,,,8,87,1
CommunistAgressive,l0,l1,l2,l3,,89,375,3
Boss,l0,l1,l2,l3,,13,112,1
BorderControl,l0,l1,l2,l3,l4,39,209,6
BorderControl,l0,l1,l2,,,63,351,4
CommunistDefensive,l0,l1,l2,,,19,150,1
CommunistAgressive,l0,l1,,,,31,215,1
Boss,l0,l1,,,,14,122,1
CommunistDefensive,l0,l1,l2,l3,,29,185,1
CommunistAgressive,l0,l1,l2,l3,l4,20,140,1
Boss,l0,l1,l2,l3,l4,11,113,1
Nailer,l0,l1,l2,l3,,28,214,1
Boss,l0,l1,l2,,,14,107,1
CommunistDefensive,l0,l1,l2,l3,l4,45,268,1
Nailer,l0,,,,,20,153,1
Nailer,l0,l1,l2,l3,l4,52,383,1
BorderControl,d0,d1,d2,d3,d4,27,116,6
CommunistAgressive,l0,l1,l2,,,17,125,1
CommunistAgressive,l0,,,,,9,80,1
CommunistDefensive,l0,,,,,20,114,2
Boss,l0,,,,,11,109,1
BorderControl,l0,l1,l2,l3,,17,117,1
Nailer,l0,l1,,,,12,129,1
Nailer,l0,l1,l2,,,17,130,1
CommunistDefensive,l0,l1,,,,17,118,1
BorderControl,l0,,,,,6,66,1
CommunistAgressive,l0,l1,l2,l3,,74,417,4
Boss,l0,l1,l2,l3,,11,99,1
BorderControl,l0,l1,l2,l3,l4,54,272,4
BorderControl,l0,l1,l2,,,10,123,1
CommunistDefensive,l0,l1,l2,,,30,131,4
CommunistAgressive,l0,l1,,,,9,82,1
Boss,l0,l1,,,,26,178,1
CommunistDefensive,l0,l1,l2,l3,,43,257,1
CommunistAgressive,l0,l1,l2,l3,l4,20,119,1
Boss,l0,l1,l2,l3,l4,16,110,1
Nailer,l0,l1,l2,l3,,25,214,1
Boss,l0,l1,l2,,,19,149,1
CommunistDefensive,l0,l1,l2,l3,l4,39,273,1
Nailer,l0,,,,,15,114,1
Nailer,l0,l1,l2,l3,l4,19,83,6
CommunistAgressive,l0,l1,l2,,,13,136,1
CommunistAgressive,l0,,,,,10,84,1
CommunistDefensive,l0,,,,,14,105,1
Boss,l0,,,,,11,86,1
BorderControl,l0,l1,l2,l3,,9,109,1
Nailer,l0,l1,,,,16,100,1
Nailer,l0,l1,l2,,,37,130,2
CommunistDefensive,l0,l1,,,,12,78,1
BorderControl,l0,,,,,11,109,1
CommunistAgressive,l0,l1,l2,l3,,31,211,1
Boss,l0,l1,l2,l3,,12,96,1
BorderControl,l0,l1,l2,l3,l4,11,117,1
BorderControl,l0,l1,l2,,,11,101,1
CommunistDefensive,l0,l1,l2,,,19,134,1
CommunistAgressive,l0,l1,,,,13,94,1
Boss,l0,l1,,,,14,105,1
CommunistDefensive,l0,l1,l2,l3,,39,220,1
CommunistAgressive,l0,l1,l2,l3,l4,14,58,6
Boss,l0,l1,l2,l3,l4,24,175,1
Nailer,l0,l1,l2,l3,,101,542,2
Boss,l0,l1,l2,,,9,77,1
CommunistDefensive,l0,l1,l2,l3,l4,62,311,1
Nailer,l0,,,,,20,140,1
Nailer,l0,l1,l2,l3,l4,15,50,5
Boss,d0,d1,d2,,,28,239,1
CommunistDefensive,d0,d1,d2,,,99,213,4
CommunistDefensive,d0,d1,d2,d3,d4,42,139,4
CommunistDefensive,d0,d1,,,,34,93,1
BorderControl,d0,d1,d2,,,177,680,3
Boss,d0,d1,d2,d3,d4,52,182,5
CommunistDefensive,d0,d1,d2,d3,,462,542,1
Boss,d0,d1,d2,d3,,14,112,1
BorderControl,d0,d1,d2,d3,d4,41,180,5
CommunistAgressive,d0,d1,d2,d3,d4,88,294,1
BorderControl,d0,d1,d2,d3,,29,139,5
CommunistAgressive,d0,d1,d2,d3,,249,474,3
Boss,d0,d1,,,,13,116,1
BorderControl,d0,,,,,11,116,1
CommunistAgressive,d0,d1,d2,,,215,402,1
CommunistAgressive,d0,d1,,,,39,56,3
CommunistAgressive,d0,,,,,980,1043,1
Boss,d0,,,,,12,80,1
CommunistDefensive,d0,,,,,90,185,1
